Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0.361524663,0.384778013,0.63054061,0.015482422,0.110266562,0.401253918,0.097510894,0.099071207,0.105769231,0.383186252,0.440883281,0.340461216,0.102409639,0.350746269,0.094488189,0.051724138,0.322869955,0,0.473988439,0.208333333,0.154194558,0.424389268,0.301205622,0.924413383,0.118811881,0.262951334,0.13511807,0.179076916,0.149591452,0.3,0.136914165,0.815140717,0.839116412,0.566722975,0.773362775,0.605743059,0.942078739,0.287466172,0,0.295513162,0.389848884,0.201536137,0.23491613,0.027747832,0.252626755,0.144951425,0.225623366,0.285647172,0.326815132,0,0.231849497,0
1,0.589187764,0.489546629,0.495003843,0.0049765,0.118513277,0.545454545,0.122806854,0.306668731,0.126923077,0.675801208,0.18086225,0.246540881,0.362541073,0.343426368,0.478740157,1,0.376681614,0.092506938,0.36416185,0.5,0.068934014,0.240649756,0.053547791,0.65179777,0.400990099,0.070643642,0.092183356,0.17114907,0.08884978,0.666666667,0.360189573,1,0.83641635,0.408642939,0.833701825,0.617026213,1,0.384166457,0,0.293924953,0.174366847,0.048803275,0.430378023,0,0.235978821,0.661340604,0.222464587,0.292349295,0.372612462,0.516266174,0.407927305,0.422880869
2,0.58679578,0.421423538,0.529490136,0.009953,0.204483885,0.581504702,0.474092044,0.312134572,1,0.611936832,0.357939012,0.197903564,0.429901424,0.305970149,0.503937008,0.207439655,0.565022422,0.221554117,0.768786127,0.388888889,0.009070068,0.26504,0.053547791,0.428749442,0.445544554,0.173684458,0.046723071,0.011133443,0.162162162,0.22,0.521327014,0.809650191,0.836975188,0.15405535,0.697238033,0.602161568,0.925493851,0.427774544,0,0.277659135,0.217224141,0.20873602,0.450763718,0.054686446,0.287408692,0.566236998,0.293478629,0.012780892,0.388511013,0.709134229,0.433900826,0.428551905
3,0.547743588,0.385717642,0.693825263,0,0.237142939,0.663009404,0.205744431,0.265335397,0.305769231,0.839294008,0.351209253,0.167714885,0.229463308,0.350746269,0.384251969,0.845905172,0.614349776,0.111933395,0.50867052,0.430555556,0.009070068,0.762600976,0.053547791,0.614623048,0,0.113814757,0.142048238,0.081823396,0.483972344,0.433333333,0.394944708,0.919582613,0.720010232,0.147245324,0.826485564,0.596003414,0.951446454,0.489476678,0,0.329110364,0.255516123,0.113928573,0.334995158,0.213161937,0.287034169,1,0.123298615,0.236847461,0.247760546,0.56422333,0.490325063,0.463261466
4,0.525635629,0.387596899,0.578273123,0.096212333,0.312078312,0.801724138,0.390248715,0.573717234,0.188461538,0.616813748,0.459831756,0.197903564,0.928258488,0.323383085,0.793700787,0.140086207,0.780269058,0.42506938,0.554913295,0.652777778,0.369614286,0.235771707,0.053547791,0.819084015,0.148514851,0.078492936,0.583723955,1,0.218730358,0,0.65824118,0.948152705,0.837640016,0.017829365,0.938276633,0.613823217,0.871423255,0.497142379,0,0.317582254,0.299586286,0.021413055,0.245425831,0.369176084,0.241045885,0.714184265,0.357736393,0.170822257,0.452863237,0.658220657,0.432728036,0.425298483
5,0.520869477,0.383368569,0.477714579,0.0547415,0.233501748,0.888714734,0.333537332,0.32972549,0.046153846,0.674872271,0.331019979,0.540880503,0.569550931,0.514925373,0.746456693,0.228448276,0.892376682,0.157261795,0.589595376,1,0.081632653,0.224390244,0.261044177,0.687732342,0.594059406,0.078492936,0.046723071,0.902289308,0.14707731,0.1,0.616113744,0.883139358,0.8314905,0.383305356,0.666044357,0.605000258,0.75317647,0.431625317,0,0.280024423,0.153870163,0.152944926,0.248519837,0.429120574,0.275392577,0.618599631,0.730729444,0.046465313,0.353644306,0.646064584,0.377529099,0.371202102
6,0.542534984,0.366925065,0.733282091,0.049765,0.106795825,0.824339812,0.328641371,0.213700722,0.207692308,0.588481189,0.581955836,0.371907757,0.161555312,0.373134328,0.280314961,0.802801724,0.820627803,0.455134135,0.624277457,0.597222222,0.510204082,0.592682927,0.080321285,0.550185874,0.118811881,0.196232339,0.139166309,0.070724413,0.178277813,0.52,0.535369493,0.949702379,0.861187744,0.372986331,0.425960482,0.599832632,0.935045783,0.467892456,0,0.276318898,0.631892964,0.110492258,0.548411761,0.257290051,0.202392179,0.339769128,0.093399506,0.425114714,0.198538875,0.794926063,0.43666331,0.606801
7,0.705270053,0.39934226,0.522931079,0.199059999,0.058092788,0.39184953,0.415544676,0.228348194,0.444423077,0.543892243,0.126182965,0.140880503,0.197152245,0.400497512,0.103937008,0.043103448,0.493273543,0.220629047,0.63583815,0.486111111,0.040816327,0.190243902,0.15060241,0.657992565,0.059405941,0.90266876,0.147745928,0.055529376,0.067881835,0.48,0.240477444,0.743880401,0.86969869,0,0,0.597636866,0.94778844,0.507755365,0,0.286315328,0.183184484,0.275017696,0.988622155,0.257822481,0.427651044,0.893033554,0.113106472,0.262705174,0.568328888,0.627518662,0.431844893,0.448331834
8,0.54075554,0.605825699,1,0.061376833,0.231067637,0.598746082,0.606100367,0.325393189,0.181730769,0.856943799,0.188643533,0.476310273,0.220153341,0.748756219,0.368503937,0,0.556053812,0.442183164,1,0.236111111,0.510204082,0.204878049,0.435742972,0.43866171,0.118811881,0.141287284,0,0.088297803,0.29415462,0.54,0.507284536,0.665192768,0.882808907,0.542905922,0.771112014,0.606836739,0.783241894,0.509720529,0,0.279373156,0.10756874,0.329151729,0.336659484,0.233725548,0.203339897,0.733211502,0.093501104,0.451293104,0.34608547,0.396626929,0.563235407,0.301790743
9,0.526853333,0.555320648,0.244427364,0.038153166,0.213169272,0.203761755,0.60244798,0.393743034,0.538461538,0.413376684,0,0.193710692,0.101314348,0.378109453,0.264566929,0.495689655,0.165919283,0.276595745,0.634682081,0.097222222,0.258503401,0.534146341,0.234939759,0.289962825,0.356435644,0.306122449,0.508711453,0.782419126,0.022627278,0.24,0.124626997,0.890311394,0.883731248,0.479610243,0.425948408,0.602561348,0.913530571,0.495524333,0,0.278021076,0.183963414,0.0537968,0.588980387,0.342134027,0.184557305,0.307642275,0.157489478,0.364989462,1,0.453132233,1,0.519287488
10,0.563294082,0.693211182,0.352036895,0.065523916,0.148541628,0.525862069,0.454100367,0.454795666,0.069230769,0.510450534,0.147423764,0.435639413,0.216319825,0.445273632,0.330708661,0.211206897,0.488789238,0.166512488,0.682080925,0.013888889,0.380952381,0.190243902,0.488955823,0.431226766,0.118811881,0.039246468,0.249385023,0.092553576,0.090509114,0.14,0.354572582,0.803931,0.890202942,0.917817057,0.857873125,0.595631795,0.869791285,0.421141517,0,0.278728057,0.12923836,0.217080885,0,0.209933948,0,0.309125538,0.249388102,0,0.487634479,0.664538006,0.891730153,0.450009857
